map,BFS-G cost,BFS-G expanded,WA* (0.5) cost,WA* (0.5) expanded,WA* (0.7) cost,WA* (0.7) expanded,WA* (0.9) cost,WA* (0.9) expanded
map12x12,140.0,445,118.0,225,118.0,198,118.0,189
map15x15,215.0,858,178.0,652,178.0,603,195.0,466
map20x20,203.0,1045,188.0,685,188.0,588,188.0,425
